job_index,strategy,n_bins,min_support,final_score,score_delta,n_selected_features,selected_features,cluster_sizes,alpha,mu_param,gamma,beta,status,error_message
0,uniform,3,1.0,0.4068583846092224,0.0,0,,[],,,,,baseline_no_features,
1,uniform,3,0.95,0.4068583846092224,0.0,0,,[],,,,,baseline_no_features,
2,uniform,3,0.9,0.4068583846092224,0.0,0,,[],,,,,baseline_no_features,
3,uniform,3,0.85,0.4068583846092224,0.0,0,,[],,,,,baseline_no_features,
4,uniform,3,0.8,0.4068583846092224,0.0,0,,[],,,,,baseline_no_features,
5,uniform,3,0.75,0.4068583846092224,0.0,0,,[],,,,,baseline_no_features,
6,uniform,3,0.7,0.5328463315963745,0.1259879469871521,3,"fused_6_low, fused_10_low, fused_5_low","[169, 162, 930, 358, 180]",0.1,0.7,0.7,4.0,ok,
7,uniform,3,0.65,0.5505951642990112,0.1437367796897888,2,"fused_5_low+fused_6_low, fused_4_high","[156, 253, 841, 195, 354]",0.2,0.8,0.2,5.0,ok,
8,uniform,3,0.6,0.5411361455917358,0.1342777609825134,2,"fused_11_high+fused_5_low+fused_6_low, fused_10_low+fused_4_high","[161, 275, 786, 227, 350]",0.3,0.9,0.7,5.0,ok,
9,uniform,3,0.55,0.6284238696098328,0.2215654850006103,4,"fused_10_low+fused_9_medium, fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_6_low, fused_11_high+fused_6_low+fused_9_medium","[233, 291, 820, 225, 230]",0.1,0.8,0.6,3.0,ok,
10,uniform,3,0.5,0.599346399307251,0.1924880146980285,5,"fused_10_low+fused_5_low+fused_6_low, fused_10_low+fused_11_high+fused_6_low, fused_11_high+fused_5_low+fused_6_low+fused_9_medium, fused_1_medium+fused_6_low+fused_9_medium, fused_1_medium+fused_5_low+fused_9_medium","[322, 691, 294, 242, 250]",0.1,0.7,0.2,5.0,ok,
11,uniform,3,0.45,0.5584769248962402,0.1516185402870178,3,"fused_10_low+fused_4_high+fused_5_low+fused_6_low, fused_10_low+fused_11_high+fused_4_high+fused_6_low, fused_10_low+fused_11_high+fused_5_low+fused_6_low","[162, 204, 786, 425, 222]",0.2,0.9,0.3,5.0,ok,
12,uniform,3,0.4,0.5913898944854736,0.1845315098762512,5,"fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low, fused_10_low+fused_4_high+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_9_medium, fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_5_low+fused_6_low+fused_9_medium","[259, 349, 675, 245, 271]",0.1,0.9,0.7,5.0,ok,
